"customer_key","customer_id","customer_name","segment","city","country","signup_date"
1,"CUS000001","Kevin Terrell","Consumer","New York","USA","2023-10-22"
2,"CUS000002","Kyle Reed","Consumer","Manchester","United Kingdom","2025-07-20"
3,"CUS000003","Jessica Joyce","Consumer","Amsterdam","Netherlands","2020-09-26"
4,"CUS000004","Steven Lee","Corporate","Manchester","United Kingdom","2025-11-26"
5,"CUS000005","Jeffrey Meyer","Consumer","Rotterdam","Netherlands","2025-06-03"
6,"CUS000006","Melissa Bentley","Small Business","Berlin","Germany","2022-07-25"
7,"CUS000007","Christina Reynolds","Consumer","Dublin","Ireland","2024-08-31"
8,"CUS000008","Tammie Hanson","Consumer","Birmingham","United Kingdom","2020-01-12"
9,"CUS000009","Belinda Mccullough","Corporate","London","United Kingdom","2022-09-18"
10,"CUS000010","Mary Nguyen","Online Reseller","London","United Kingdom","2024-12-12"
11,"CUS000011","Kristen Lee","Consumer","Dublin","Ireland","2022-11-18"
12,"CUS000012","Jamie Adkins","Corporate","Bristol","United Kingdom","2021-09-25"
13,"CUS000013","Keith Sullivan","Consumer","Barcelona","Spain","2020-04-09"
14,"CUS000014","Elizabeth Clark","Corporate","Birmingham","United Kingdom","2019-04-12"
15,"CUS000015","Lisa Morris","Consumer","Barcelona","Spain","2024-09-14"
16,"CUS000016","Michael Dixon","Consumer","Nottingham","United Kingdom","2021-02-27"
17,"CUS000017","Toni Fitzgerald","Online Reseller","Nottingham","United Kingdom","2020-11-16"
18,"CUS000018","Diane Beck","Corporate","Madrid","Spain","2021-05-13"
19,"CUS000019","Anna Crane","Small Business","Paris","France","2023-10-04"
20,"CUS000020","Eric Drake","Consumer","Amsterdam","Netherlands","2023-11-18"
21,"CUS000021","Angel Riggs","Corporate","Paris","France","2020-09-21"
22,"CUS000022","Patricia Gibson","Consumer","Bristol","United Kingdom","2019-12-25"
23,"CUS000023","Laura Higgins","Small Business","London","United Kingdom","2025-04-04"
24,"CUS000024","James Hernandez","Consumer","Glasgow","United Kingdom","2021-11-25"
25,"CUS000025","Stephanie Dalton","Corporate","Leeds","United Kingdom","2023-11-09"
26,"CUS000026","Paula Robinson","Corporate","Leeds","United Kingdom","2024-12-30"
27,"CUS000027","Melissa Marshall","Corporate","Bristol","United Kingdom","2025-07-26"
28,"CUS000028","Sylvia Martinez","Consumer","Glasgow","United Kingdom","2024-08-21"
29,"CUS000029","John Schmidt","Corporate","Glasgow","United Kingdom","2025-10-20"
30,"CUS000030","Emily Fischer","Small Business","Glasgow","United Kingdom","2023-04-12"
31,"CUS000031","Robert Mcclain","Consumer","Bristol","United Kingdom","2020-10-02"
32,"CUS000032","Terry Griffin","Corporate","Berlin","Germany","2025-02-13"
33,"CUS000033","Scott Cole","Consumer","Bristol","United Kingdom","2023-03-09"
34,"CUS000034","Sara Ramirez","Corporate","Madrid","Spain","2025-03-23"
35,"CUS000035","Kari Allen","Consumer","Nottingham","United Kingdom","2025-09-09"
36,"CUS000036","Micheal Young","Online Reseller","Birmingham","United Kingdom","2022-06-02"
37,"CUS000037","Steven Miller","Small Business","Bristol","United Kingdom","2022-11-09"
38,"CUS000038","James Hernandez","Small Business","Bristol","United Kingdom","2020-08-06"
